employee_id,project,month,hours
E001,Qbank,2025-07,3.48
E001,StudyReserve,2025-07,68.78
E001,CareJetty,2025-08,26.88
E001,StudyReserve,2025-08,17.18
E001,Qbank,2025-09,0.65
E001,StudyReserve,2025-09,14.47
E001,CareJetty,2025-09,50.03
E002,Lexigram,2025-07,57.15
E002,lift,2025-07,22.91
E002,InternalProjects,2025-07,9.92
E002,Lexigram,2025-08,16.03
E002,lift,2025-08,31.87
E002,InternalProjects,2025-08,31.03
E002,Qbank,2025-08,0.82
E002,InternalProjects,2025-09,29.25
E002,Lexigram,2025-09,33.82
E002,lift,2025-09,25.45
E003,Coachello,2025-07,37.88
E003,Effortless,2025-07,3.28
E003,InternalProjects,2025-07,7.53
E003,SRM,2025-07,85.03
E003,InternalProjects,2025-08,1.42
E003,SRM,2025-08,106.35
E003,Coachello,2025-09,1.92
E003,SRM,2025-09,110.93
E004,EffortAgent,2025-07,40.15
E004,FamousAI,2025-07,52.27
E004,Lexigram,2025-07,50.48
E004,AssetShield,2025-08,7.95
E004,EffortAgent,2025-08,63.82
E004,InternalProjects,2025-08,8.12
E004,Lexigram,2025-08,68.45
E004,AssetShield,2025-09,24.72
E004,EffortAgent,2025-09,65.63
E004,Lexigram,2025-09,82.25
E005,CareJetty,2025-07,2.17
E005,InternalProjects,2025-07,1.5
E005,Lexigram,2025-07,1.5
E005,lift,2025-07,1.23
E005,Qbank,2025-07,118.85
E005,CareJetty,2025-08,9.83
E005,InternalProjects,2025-08,4.45
E005,Qbank,2025-08,116.60
E005,SRM,2025-08,3.27
E005,InternalProjects,2025-09,3.85
E005,Qbank,2025-09,107.55
E005,StudyReserve,2025-09,37.45
